,PCEPILFE,PCEPI,GDPC1,GDPPOT
1959-01-01,16.727,16.074,3121.936,3117.2830494653304
1959-02-01,16.74,16.089,,
1959-03-01,16.759,16.1,,
1959-04-01,16.801,16.132,3192.38,3146.0539875575128
1959-05-01,16.822,16.14,,
1959-06-01,16.871,16.186,,
1959-07-01,16.911,16.22,3194.653,3176.798032240724
1959-08-01,16.938,16.244,,
1959-09-01,16.983,16.286,,
1959-10-01,17.012,16.326,3203.759,3208.096196811341
1959-11-01,17.043,16.336,,
1959-12-01,17.069,16.355,,
1960-01-01,17.073,16.346,3275.757,3240.5569819606285
1960-02-01,17.105,16.363,,
1960-03-01,17.107,16.372,,
1960-04-01,17.138,16.432,3258.088,3273.035767297588
1960-05-01,17.166,16.449,,
1960-06-01,17.176,16.456,,
1960-07-01,17.206,16.485,3274.029,3305.9678301042277
1960-08-01,17.231,16.513,,
1960-09-01,17.244,16.523,,
1960-10-01,17.255,16.542,3232.009,3338.8400839437413
1960-11-01,17.301,16.598,,
1960-12-01,17.295,16.601,,
1961-01-01,17.3,16.604,3253.826,3372.348172113431
1961-02-01,17.317,16.62,,
1961-03-01,17.322,16.61,,
1961-04-01,17.346,16.6,3309.059,3405.198098522494
1961-05-01,17.369,16.609,,
1961-06-01,17.395,16.617,,
1961-07-01,17.422,16.653,3372.581,3439.5582726808398
1961-08-01,17.44,16.667,,
1961-09-01,17.475,16.686,,
1961-10-01,17.481,16.685,3438.721,3474.246141004584
1961-11-01,17.483,16.686,,
1961-12-01,17.499,16.69,,
1962-01-01,17.519,16.721,3500.054,3510.0321060600295
1962-02-01,17.548,16.767,,
1962-03-01,17.589,16.789,,
1962-04-01,17.593,16.808,3531.683,3546.73680994665
1962-05-01,17.617,16.818,,
1962-06-01,17.649,16.829,,
1962-07-01,17.664,16.819,3575.07,3584.3706512822246
1962-08-01,17.667,16.844,,
1962-09-01,17.702,16.927,,
1962-10-01,17.701,16.909,3586.827,3622.710720505764
1962-11-01,17.713,16.922,,
1962-12-01,17.718,16.914,,
1963-01-01,17.753,16.956,3625.981,3661.580587104745
1963-02-01,17.773,16.974,,
1963-03-01,17.783,16.961,,
1963-04-01,17.805,16.96,3666.669,3701.2983398576957
1963-05-01,17.837,16.987,,
1963-06-01,17.868,17.024,,
1963-07-01,17.884,17.058,3747.278,3741.7583335250974
1963-08-01,17.9,17.081,,
1963-09-01,17.932,17.078,,
1963-10-01,17.972,17.111,3771.845,3783.032548128088
1963-11-01,17.989,17.135,,
1963-12-01,18.014,17.161,,
1964-01-01,18.039,17.197,3851.366,3824.393577413385
1964-02-01,18.074,17.221,,
1964-03-01,18.09,17.231,,
1964-04-01,18.107,17.245,3893.296,3866.7394088435326
1964-05-01,18.123,17.246,,
1964-06-01,18.136,17.271,,
1964-07-01,18.154,17.293,3954.121,3909.521068541685
1964-08-01,18.177,17.306,,
1964-09-01,18.185,17.333,,
1964-10-01,18.192,17.343,3966.335,3952.517870249204
1964-11-01,18.218,17.368,,
1964-12-01,18.244,17.393,,
1965-01-01,18.268,17.412,4062.311,3996.770933326359
1965-02-01,18.291,17.419,,
1965-03-01,18.301,17.442,,
1965-04-01,18.323,17.469,4113.629,4040.3756535129887
1965-05-01,18.357,17.508,,
1965-06-01,18.352,17.559,,
1965-07-01,18.37,17.572,4205.086,4085.6458255755333
1965-08-01,18.405,17.576,,
1965-09-01,18.427,17.584,,
1965-10-01,18.42,17.59,4301.973,4131.454966077461
1965-11-01,18.455,17.62,,
1965-12-01,18.511,17.684,,
1966-01-01,18.516,17.704,4406.693,4178.042078924176
1966-02-01,18.562,17.778,,
1966-03-01,18.585,17.821,,
1966-04-01,18.651,17.883,4421.747,4225.265899863098
1966-05-01,18.701,17.905,,
1966-06-01,18.762,17.95,,
1966-07-01,18.817,17.984,4459.195,4273.246785044241
1966-08-01,18.852,18.053,,
1966-09-01,18.909,18.11,,
1966-10-01,18.971,18.158,4495.777,4321.105281766496
1966-11-01,19.019,18.185,,
1966-12-01,19.077,18.222,,
1967-01-01,19.095,18.224,4535.591,4369.763763374422
1967-02-01,19.129,18.245,,
1967-03-01,19.158,18.255,,
1967-04-01,19.211,18.285,4538.37,4418.79858363445
1967-05-01,19.253,18.32,,
1967-06-01,19.302,18.379,,
1967-07-01,19.368,18.441,4581.309,4468.20627124683
1967-08-01,19.427,18.499,,
1967-09-01,19.496,18.555,,
1967-10-01,19.569,18.606,4615.853,4518.821566410986
1967-11-01,19.631,18.668,,
1967-12-01,19.679,18.698,,
1968-01-01,19.766,18.784,4709.993,4570.0499457544265
1968-02-01,19.852,18.861,,
1968-03-01,19.931,18.923,,
1968-04-01,20.004,18.982,4788.688,4621.424116550918
1968-05-01,20.08,19.052,,
1968-06-01,20.158,19.113,,
1968-07-01,20.225,19.171,4825.799,4673.996260785771
1968-08-01,20.304,19.25,,
1968-09-01,20.387,19.317,,
1968-10-01,20.469,19.402,4844.779,4727.436143187215
1968-11-01,20.546,19.467,,
1968-12-01,20.609,19.508,,
